id,qid1,qid2,question1,question2,is_duplicate,qID_Q1,part_of_speech_counter_Q1,number_of_numbers_Q1,number_of_words_Q1,length_of_longest_word_Q1,word2vec_mean_of_question_Q1,counter_question_words_Q1,th3_biggest_tfidf_Q1,qID_Q2,part_of_speech_counter_Q2,number_of_numbers_Q2,number_of_words_Q2,length_of_longest_word_Q2,word2vec_mean_of_question_Q2,counter_question_words_Q2,th3_biggest_tfidf_Q2,diff_between_number_of_words,diff_between_number_of_numbers,diff_between_length_of_longest_word,diff_between_counter_question_words,similarity_between_word2vec_mean_of_question,sum_diff_part_of_speech_counter,number_of_common_words,number_of_common_words_without_stopwords,both_containing_parenthesis
15,31,32,What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1,31,"Counter({'NN': 6, 'JJ': 3, 'DT': 2, 'IN': 2, 'WDT': 1, 'MD': 1, 'NNP': 1, 'NNS': 1, '.': 1})",0,17,13,SECRETARY_RICE_Yeah,1,"{'current': 7.091561233090709, 'f1': 8.190173521758819, 'master': 8.190173521758819, 'presidency': 7.091561233090709}",32,"Counter({'DT': 2, 'IN': 2, 'PRP': 2, 'WRB': 1, 'MD': 1, 'JJ': 1, 'NN': 1, 'VBP': 1, 'NNS': 1, 'RB': 1, 'CC': 1, 'VBG': 1, 'TO': 1, 'VB': 1, '.': 1})",0,17,10,%_#F########_9v.jsn,1,"{'planning': 7.091561233090709, 'presently': 7.902491449307038, 'presidency': 7.091561233090709}",0,0,3,0,0.7065331935882568,9,4,3,0
16,33,34,What does manipulation mean?,What does manipulation means?,1,33,"Counter({'WP': 1, 'VBZ': 1, 'NN': 1, 'VB': 1, '.': 1})",0,4,12,do,1,"{'does': 3.618904887446409, 'manipulation': 8.190173521758819, 'mean': 5.527585694733366}",34,"Counter({'WP': 1, 'VBZ': 1, 'NN': 1, 'NNS': 1, '.': 1})",0,4,12,does,1,"{'does': 3.618904887446409, 'manipulation': 8.190173521758819, 'means': 8.595638629866983}",0,0,0,0,0.6495505571365356,1,3,2,0
17,35,36,Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0,35,"Counter({'VBP': 2, 'NNS': 2, 'VB': 2, 'WRB': 1, 'TO': 1, 'IN': 1, 'DT': 1, 'NN': 1, 'PRP': 1, '.': 1})",0,12,7,do,1,"{'girls': 6.197743357068613, 'guy': 6.197743357068613, 'reject': 8.190173521758819}",36,"Counter({'WRB': 1, 'VBP': 1, 'NNS': 1, 'VB': 1, 'IN': 1, 'VBG': 1, 'DT': 1, 'NN': 1, '.': 1})",0,8,9,really,1,"{'girl': 5.762425285810767, 'guys': 7.209344268747093, 'rejecting': 8.595638629866983}",4,0,2,0,0.5848307609558105,5,1,0,0
18,37,38,Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1,37,"Counter({'NNS': 3, 'VBP': 2, 'RB': 2, 'WRB': 1, 'JJ': 1, 'VBG': 1, 'WDT': 1, 'VBN': 1, 'IN': 1, 'NN': 1, '.': 1})",0,14,9,Bardissi_Enterprises_welcomes,1,"{'answered': 7.902491449307038, 'posting': 7.902491449307038, 'readily': 8.595638629866983}",38,"Counter({'NNS': 3, 'VB': 2, 'WRB': 1, 'VBP': 1, 'WDT': 1, 'MD': 1, 'VBN': 1, 'RB': 1, 'IN': 1, 'NN': 1, '.': 1})",0,13,9,do,2,"{'answered': 7.902491449307038, 'easily': 7.497026341198874, 'google': 6.030689272405446}",1,0,0,1,0.3606739342212677,4,5,5,0
19,39,40,Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0,39,"Counter({'NN': 3, 'WDT': 1, 'VBZ': 1, 'DT': 1, 'JJS': 1, 'JJ': 1, 'IN': 1, '.': 1})",0,9,11,CIT_Reichwald,1,"{'banglore': 8.595638629866983, 'institution': 8.190173521758819, 'marketing': 7.209344268747093}",40,"Counter({'NN': 3, 'WDT': 1, 'VBZ': 1, 'DT': 1, 'JJS': 1, 'JJ': 1, 'IN': 1, '.': 1})",0,9,9,IGNOU_launches,1,"{'institute': 7.091561233090709, 'marketing': 7.209344268747093, 'pune': 7.902491449307038}",0,0,2,0,0.5280458927154541,0,7,4,0
20,41,42,Why do rockets look white?,Why are rockets and boosters painted white?,1,41,"Counter({'WRB': 1, 'VBP': 1, 'NNS': 1, 'VB': 1, 'JJ': 1, '.': 1})",0,5,7,rockets,1,"{'look': 6.5807356093247185, 'rockets': 8.190173521758819, 'white': 6.197743357068613}",42,"Counter({'NNS': 2, 'WRB': 1, 'VBP': 1, 'CC': 1, 'VBD': 1, 'JJ': 1, '.': 1})",0,7,8,rockets,1,"{'boosters': 8.595638629866983, 'painted': 8.595638629866983, 'rockets': 8.190173521758819}",2,0,1,0,1.0,2,3,3,0
21,43,44,What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0,43,"Counter({'WP': 1, 'VBZ': 1, 'VBG': 1, 'NN': 1, 'TO': 1, 'VB': 1, 'JJ': 1, '.': 1})",0,6,7,jealous,0,"{'causing': 8.595638629866983, 'jealous': 7.6793478979928285, ""what's"": 5.069278105250822}",44,"Counter({'VB': 2, 'WP': 1, 'MD': 1, 'VBP': 1, 'TO': 1, 'VBG': 1, 'JJ': 1, 'IN': 1, 'NN': 1, '.': 1})",0,10,7,do,1,"{'?': 1.0007542426504639, 'avoid': 6.890890537628558, 'jealous': 7.6793478979928285}",4,0,0,1,0.25696128606796265,2,1,0,0
22,45,46,What are the questions should not ask on Quora?,Which question should I ask on Quora?,0,45,"Counter({'NNS': 2, 'WDT': 1, 'VBP': 1, 'DT': 1, 'MD': 1, 'RB': 1, 'VB': 1, 'IN': 1, '.': 1})",0,9,9,do,1,"{'ask': 5.956581300251725, 'questions': 5.792278248960448, 'quora': 4.857969011583615}",46,"Counter({'VB': 2, 'WDT': 1, 'NN': 1, 'MD': 1, 'IN': 1, 'NNS': 1, '.': 1})",0,7,8,ask,1,"{'ask': 5.956581300251725, 'question': 5.921489980440454, 'quora': 4.857969011583615}",2,0,1,0,0.5471649169921875,5,4,2,0
23,47,48,How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0,47,"Counter({'NN': 2, 'WRB': 1, 'JJ': 1, 'VBZ': 1, 'CD': 1, 'IN': 1, '.': 1})",1,7,4,hp,1,"{'30': 7.6793478979928285, 'hp': 7.902491449307038, 'kv': 8.595638629866983}",48,"Counter({'VB': 3, 'NN': 3, 'WRB': 1, 'MD': 1, 'DT': 1, 'IN': 1, 'TO': 1, '.': 1})",0,11,10,S5_Coupe,1,"{'cc': 8.595638629866983, 'conversion': 8.190173521758819, 'horsepower': 8.595638629866983}",4,1,6,0,0.6931122541427612,4,0,0,0
24,49,50,What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,0,49,"Counter({'DT': 4, 'IN': 2, 'NN': 2, 'JJ': 2, 'VBP': 2, 'WP': 1, 'VBZ': 1, 'PRP': 1, 'VB': 1, 'NNS': 1, '.': 1})",0,17,7,just,1,"{'clock': 8.190173521758819, 'look': 6.5807356093247185, 'numbers': 7.3428756613716155}",50,"Counter({'NN': 3, 'NNS': 2, 'DT': 2, 'WRB': 1, 'JJ': 1, 'VB': 1, 'NNP': 1, 'RP': 1, '.': 1})",0,12,7,just,1,"{'clock': 8.190173521758819, 'hands': 7.902491449307038, 'overlap': 8.595638629866983}",5,0,0,0,1.0,12,0,0,0
25,51,52,What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,0,51,"Counter({'IN': 3, 'NN': 3, 'DT': 2, 'NNS': 2, 'WDT': 1, 'VBP': 1, 'VBG': 1, 'PRP': 1, '.': 1})",0,14,9,%_#F########_9v.jsn,1,"{'making': 7.091561233090709, 'medicines': 7.902491449307038, 'tips': 7.209344268747093}",52,"Counter({'NN': 5, 'IN': 3, 'DT': 2, 'WDT': 1, 'VBP': 1, 'NNS': 1, 'VBG': 1, 'PRP': 1, '.': 1})",0,15,10,%_#F########_9v.jsn,1,"{'foundation': 8.595638629866983, 'medicine': 7.3428756613716155, 'tips': 7.209344268747093}",1,0,1,0,1.0,3,13,6,0
26,53,54,What is web application?,What is the web application framework?,0,53,"Counter({'WP': 1, 'VBZ': 1, 'JJ': 1, 'NN': 1, '.': 1})",0,4,11,web,1,"{'?': 1.0007542426504639, 'application': 6.890890537628558, 'web': 6.455572466370713}",54,"Counter({'NN': 2, 'WP': 1, 'VBZ': 1, 'DT': 1, 'JJ': 1, '.': 1})",0,6,11,framework,1,"{'application': 6.890890537628558, 'framework': 7.6793478979928285, 'web': 6.455572466370713}",2,0,0,0,0.14858445525169373,1,3,2,0
27,55,56,Does society place too much importance on sports?,How do sports contribute to the society?,0,55,"Counter({'VB': 2, 'VBZ': 1, 'RB': 1, 'JJ': 1, 'NN': 1, 'IN': 1, 'NNS': 1, '.': 1})",0,8,10,do,0,"{'importance': 8.190173521758819, 'society': 7.3428756613716155, 'sports': 8.190173521758819}",56,"Counter({'WRB': 1, 'JJ': 1, 'NNS': 1, 'VB': 1, 'TO': 1, 'DT': 1, 'NN': 1, '.': 1})",0,7,10,do,1,"{'contribute': 8.595638629866983, 'society': 7.3428756613716155, 'sports': 8.190173521758819}",1,0,0,1,1.0,4,0,0,0
28,57,58,What is best way to make money online?,What is best way to ask for money online?,0,57,"Counter({'NN': 3, 'WP': 1, 'VBZ': 1, 'RBS': 1, 'TO': 1, 'VB': 1, '.': 1})",0,8,6,what,1,"{'money': 5.417584799519037, 'online': 5.651199650700543, 'way': 5.04029056837757}",58,"Counter({'NN': 3, 'WP': 1, 'VBZ': 1, 'RBS': 1, 'TO': 1, 'VB': 1, 'IN': 1, '.': 1})",0,9,6,what,1,"{'ask': 5.956581300251725, 'money': 5.417584799519037, 'online': 5.651199650700543}",1,0,0,0,1.0,0,7,5,0
29,59,60,How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,1,59,"Counter({'MD': 2, 'NN': 2, 'WRB': 1, 'VB': 1, 'IN': 1, 'JJ': 1, '.': 1})",0,8,7,ll,1,"{'ca': 6.803879160638928, 'final': 7.091561233090709, 'law': 6.890890537628558}",60,"Counter({'NN': 3, 'MD': 2, 'IN': 2, 'WRB': 1, 'CD': 1, 'VB': 1, 'RB': 1, 'JJ': 1, '.': 1})",0,14,10,not,1,"{'ca': 6.803879160638928, 'completely': 7.902491449307038, 'final': 7.091561233090709}",6,0,3,0,0.19936789572238922,2,6,4,0
30,61,62,What's one thing you would like to do better?,What's one thing you do despite knowing better?,0,61,"Counter({'VB': 2, 'WP': 1, 'VBZ': 1, 'CD': 1, 'NN': 1, 'PRP': 1, 'MD': 1, 'TO': 1, 'JJR': 1, '.': 1})",0,9,6,do,0,"{'better': 5.5045961765086675, 'thing': 5.823049907627202, ""what's"": 5.069278105250822}",62,"Counter({'WP': 1, 'VBZ': 1, 'CD': 1, 'NN': 1, 'PRP': 1, 'VBP': 1, 'IN': 1, 'VBG': 1, 'JJR': 1, '.': 1})",0,8,7,do,0,"{'despite': 8.190173521758819, 'knowing': 8.190173521758819, 'thing': 5.823049907627202}",1,0,1,0,1.0,4,6,4,0
31,63,64,What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,1,63,"Counter({'DT': 3, 'IN': 3, 'NN': 3, 'WDT': 2, 'VBP': 1, 'JJ': 1, 'NNS': 1, 'VBZ': 1, 'RB': 1, '.': 1})",0,16,7,%_#F########_9v.jsn,1,"{'cares': 8.595638629866983, 'nose': 7.497026341198874, 'stuffy': 7.6793478979928285}",64,"Counter({'NN': 3, 'VB': 2, 'IN': 2, 'WRB': 1, 'MD': 1, 'PRP$': 1, 'VBG': 1, '.': 1})",0,11,7,just,1,"{'night': 7.3428756613716155, 'nose': 7.497026341198874, 'stuffy': 7.6793478979928285}",5,0,0,0,0.446469783782959,11,3,3,0
32,65,66,What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,1,65,"Counter({'VB': 3, 'NN': 2, 'WP': 1, 'IN': 1, 'NNS': 1, 'MD': 1, 'DT': 1, 'RBS': 1, 'JJ': 1, 'TO': 1, 'PRP': 1, '.': 1})",0,14,7,if,1,"{'mercy': 8.190173521758819, 'thrones': 7.6793478979928285, 'villain': 7.902491449307038}",66,"Counter({'NN': 3, 'IN': 3, 'VB': 2, 'WP': 1, 'NNS': 1, 'MD': 1, 'PRP': 1, 'RBS': 1, 'TO': 1, 'DT': 1, '.': 1})",0,15,7,Johnnie_Baston_die,1,"{'mercy': 8.190173521758819, 'thrones': 7.6793478979928285, 'villain': 7.902491449307038}",1,0,0,0,0.43703508377075195,5,11,5,0
33,67,68,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",How is the average speed of gas molecules determined?,0,67,"Counter({'NNS': 4, 'JJ': 3, 'DT': 2, 'NN': 2, '.': 2, 'VBZ': 1, 'RB': 1, 'VB': 1, '(': 1, ',': 1, 'FW': 1, ')': 1, 'IN': 1, 'PRP$': 1})",0,21,10,INSTANT_VIEW_Reaction,0,"{'blacklist': 8.595638629866983, 'employment': 8.595638629866983, 'states': 13.781781075257117, 'united': 13.607758321277856}",68,"Counter({'NN': 2, 'WRB': 1, 'VBZ': 1, 'DT': 1, 'JJ': 1, 'IN': 1, 'NNS': 1, 'VBN': 1, '.': 1})",0,9,10,mso_font_pitch,1,"{'determined': 7.902491449307038, 'gas': 7.497026341198874, 'molecules': 7.902491449307038}",12,0,0,1,0.5410788059234619,14,1,0,0
34,69,70,What is the best travel website in spain?,What is the best travel website?,0,69,"Counter({'NN': 3, 'WP': 1, 'VBZ': 1, 'DT': 1, 'JJS': 1, 'IN': 1, '.': 1})",0,8,7,%_#F########_9v.jsn,1,"{'spain': 7.6793478979928285, 'travel': 6.153291594497779, 'website': 6.293053536872938}",70,"Counter({'NN': 2, 'WP': 1, 'VBZ': 1, 'DT': 1, 'JJS': 1, '.': 1})",0,6,7,what,1,"{'best': 3.462785703046478, 'travel': 6.153291594497779, 'website': 6.293053536872938}",2,0,0,0,0.41751372814178467,2,5,3,0
35,71,72,Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?,0,71,"Counter({'VB': 3, 'NNS': 2, 'WRB': 1, 'DT': 1, 'VBP': 1, 'NN': 1, 'MD': 1, 'TO': 1, 'PRP$': 1, 'RB': 1, '.': 1})",0,13,6,do,1,"{'away': 7.209344268747093, 'guns': 8.190173521758819, 'obama': 7.497026341198874}",72,"Counter({'NN': 3, 'RB': 2, 'VB': 2, 'VBZ': 1, 'VBN': 1, 'DT': 1, 'TO': 1, 'RP': 1, 'JJ': 1, 'NNS': 1, '.': 1})",0,14,10,guns,0,"{'gun': 7.902491449307038, 'guns': 8.190173521758819, 'initiative': 7.902491449307038}",1,0,4,1,0.1939186006784439,9,4,3,0
36,73,74,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,0,73,"Counter({'VB': 4, 'DT': 3, 'JJ': 3, 'NN': 2, 'VBP': 2, '.': 2, 'MD': 2, 'NNS': 2, 'WRB': 1, 'PRP$': 1, 'CC': 1, 'WP': 1, 'TO': 1, 'IN': 1})",0,26,12,do,2,"{'19': 8.190173521758819, 'entrepreneur': 8.595638629866983, 'year-old': 7.902491449307038}",74,"Counter({'NN': 4, 'DT': 3, 'CD': 2, 'JJ': 2, '.': 2, 'VB': 2, 'VBP': 1, 'WRB': 1, 'MD': 1, 'IN': 1, 'NNS': 1})",2,19,11,I,1,"{'10': 6.197743357068613, '19': 8.190173521758819, 'billionaire': 7.497026341198874, 'guy': 6.197743357068613}",7,2,1,1,0.5432289242744446,12,9,5,0
